,Code,Content,Values
874,2000S-2064-GEOBL3,"Persons: Status in employment/Economic sector (section) -
Migrant background (selected
countries)/Migrant background (continents)",1536
875,2000S-2064-GEODL3,"Persons: Status in employment/Economic sector (section) -
Migrant background (selected
countries)/Migrant background (continents)",96
876,2000S-2064-GEOLK3,"Persons: Status in employment/Economic sector (section) -
Migrant background (selected
countries)/Migrant background (continents)",39552
877,2000S-2064-GEORB3,"Persons: Status in employment/Economic sector (section) -
Migrant background (selected
countries)/Migrant background (continents)",3456
878,2000S-2065-GEOBL3,"Persons: Economic sector - Sex/Religion (in detail)/Highest
professional qualification/Highest
professional qualification (detailed)/Citizenship
(groups)",640
879,2000S-2065-GEODL3,"Persons: Economic sector - Sex/Religion (in detail)/Highest
professional qualification/Highest
professional qualification (detailed)/Citizenship
(groups)",40
880,2000S-2066-GEOBL3,"Persons: Economic sector - Type of building/Year of
construction
(decade period)/Floor area of the dwelling (10m² intervals)",640
881,2000S-2066-GEODL3,"Persons: Economic sector - Type of building/Year of
construction
(decade period)/Floor area of the dwelling (10m² intervals)",40
882,2000S-2067-GEOBL3,"Persons: Economic sector (sections) - Age (eleven classes of
years)/Sex/Migrant background and experience",6256
883,2000S-2067-GEODL3,"Persons: Economic sector (sections) - Age (eleven classes of
years)/Sex/Migrant background and experience",391
884,2000S-2067-GEOLK3,"Persons: Economic sector (sections) - Age (eleven classes of
years)/Sex/Migrant background and experience",161092
885,2000S-2067-GEORB3,"Persons: Economic sector (sections) - Age (eleven classes of
years)/Sex/Migrant background and experience",14076
886,2000S-2068-GEOBL3,"Persons: Economic sector (sections) - Age (ten years age
groups)/Marital status/Highest professional qualification
(detailed)/Religion (in detail)/Citizenship
(continent)",3680
887,2000S-2068-GEODL3,"Persons: Economic sector (sections) - Age (ten years age
groups)/Marital status/Highest professional qualification
(detailed)/Religion (in detail)/Citizenship
(continent)",230
888,2000S-2069-GEOBL3,"Persons: Economic sector (sections) - Size of private
household/Type of private household (by living arrangement)",2576
889,2000S-2069-GEODL3,"Persons: Economic sector (sections) - Size of private
household/Type of private household (by living arrangement)",161
890,2000S-2070-GEOBL3,"Persons: Economic sector (sections)/Economic (sub-)sectors -
Migration experience (decade of arrival)",2176
891,2000S-2070-GEODL3,"Persons: Economic sector (sections)/Economic (sub-)sectors -
Migration experience (decade of arrival)",136
892,2000S-2071-GEOBL3,"Persons: Economic (sub-)sectors - Age/Marital status (in
detail)/Sex/Citizenship (selected countries)/Migrant
background and experience",4624
893,2000S-2071-GEODL3,"Persons: Economic (sub-)sectors - Age/Marital status (in
detail)/Sex/Citizenship (selected countries)/Migrant
background and experience",289
894,2000S-2071-GEOGM3,"Persons: Economic (sub-)sectors - Age/Marital status (in
detail)/Sex/Citizenship (selected countries)/Migrant
background and experience",454886
895,2000S-2071-GEOLK3,"Persons: Economic (sub-)sectors - Age/Marital status (in
detail)/Sex/Citizenship (selected countries)/Migrant
background and experience",119068
896,2000S-2071-GEORB3,"Persons: Economic (sub-)sectors - Age/Marital status (in
detail)/Sex/Citizenship (selected countries)/Migrant
background and experience",10404
897,2000S-2071-GEOVB3,"Persons: Economic (sub-)sectors - Age/Marital status (in
detail)/Sex/Citizenship (selected countries)/Migrant
background and experience",45373
898,2000S-2072-GEOBL3,"Persons: Economic (sub-)sectors - Occupation (areas by KldB
2010)/Highest professional qual. (detailed)/Highest
school-leaving qual./Religion (in detail)/Status in
employment",3120
899,2000S-2072-GEODL3,"Persons: Economic (sub-)sectors - Occupation (areas by KldB
2010)/Highest professional qual. (detailed)/Highest
school-leaving qual./Religion (in detail)/Status in
employment",195
900,2000S-2072-GEORB3,"Persons: Economic (sub-)sectors - Occupation (areas by KldB
2010)/Highest professional qual. (detailed)/Highest
school-leaving qual./Religion (in detail)/Status in
employment",7020
901,2000S-2073-GEOBL3,"Persons: Economic (sub-)sectors - Type of private household
(by living arrangement)",2176
902,2000S-2073-GEODL3,"Persons: Economic (sub-)sectors - Type of private household
(by living arrangement)",136
903,2000S-2074-GEOBL3,"Persons: Economic (sub-)sectors - Type of family nucleus (by
living arrangement)",1632
904,2000S-2074-GEODL3,"Persons: Economic (sub-)sectors - Type of family nucleus (by
living arrangement)",102
905,2000S-2074-GEORB3,"Persons: Economic (sub-)sectors - Type of family nucleus (by
living arrangement)",3672
906,2000S-2075-GEOBL3,"Persons: Migrant background (selected countries) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",4080
907,2000S-2075-GEODL3,"Persons: Migrant background (selected countries) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",255
908,2000S-2075-GEOGM3,"Persons: Migrant background (selected countries) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",401370
909,2000S-2075-GEOLK3,"Persons: Migrant background (selected countries) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",105060
910,2000S-2075-GEORB3,"Persons: Migrant background (selected countries) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",9180
911,2000S-2075-GEOVB3,"Persons: Migrant background (selected countries) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",40035
912,2000S-2076-GEOBL3,"Persons: Migrant background (selected countries) - Activity
status/Religion (in detail)",2400
913,2000S-2076-GEODL3,"Persons: Migrant background (selected countries) - Activity
status/Religion (in detail)",150
914,2000S-2076-GEOLK3,"Persons: Migrant background (selected countries) - Activity
status/Religion (in detail)",61800
915,2000S-2076-GEORB3,"Persons: Migrant background (selected countries) - Activity
status/Religion (in detail)",5400
916,2000S-2077-GEOBL3,"Persons: Migrant background (selected countries) - Age (five
years age groups)/Age (age classes of relevance to market
research)/Migrant background (duration of stay)",4800
917,2000S-2077-GEODL3,"Persons: Migrant background (selected countries) - Age (five
years age groups)/Age (age classes of relevance to market
research)/Migrant background (duration of stay)",300
918,2000S-2078-GEOBL3,"Persons: Migrant background (selected countries/continents)
- Equipment in dwelling/Floor area of the dwelling/Size of
private household/Rooms/Type of private household (by
family)",1280
919,2000S-2078-GEODL3,"Persons: Migrant background (selected countries/continents)
- Equipment in dwelling/Floor area of the dwelling/Size of
private household/Rooms/Type of private household (by
family)",80
920,2000S-2078-GEOLK3,"Persons: Migrant background (selected countries/continents)
- Equipment in dwelling/Floor area of the dwelling/Size of
private household/Rooms/Type of private household (by
family)",32960
921,2000S-2078-GEORB3,"Persons: Migrant background (selected countries/continents)
- Equipment in dwelling/Floor area of the dwelling/Size of
private household/Rooms/Type of private household (by
family)",2880
922,2000S-2079-GEOBL3,"Persons: Migrant background (selected countries) - Highest
professional qualification (detailed)",1920
923,2000S-2079-GEODL3,"Persons: Migrant background (selected countries) - Highest
professional qualification (detailed)",120
924,2000S-2079-GEOLK3,"Persons: Migrant background (selected countries) - Highest
professional qualification (detailed)",49440
925,2000S-2079-GEORB3,"Persons: Migrant background (selected countries) - Highest
professional qualification (detailed)",4320
926,2000S-2080-GEOBL3,"Persons: Migrant background (continents) - Age/Activity
status/Marital status (in detail)/Sex/Religion (in
detail)/Citizenship (selected countries)",2560
927,2000S-2080-GEODL3,"Persons: Migrant background (continents) - Age/Activity
status/Marital status (in detail)/Sex/Religion (in
detail)/Citizenship (selected countries)",160
928,2000S-2080-GEOLK3,"Persons: Migrant background (continents) - Age/Activity
status/Marital status (in detail)/Sex/Religion (in
detail)/Citizenship (selected countries)",65920
929,2000S-2080-GEORB3,"Persons: Migrant background (continents) - Age/Activity
status/Marital status (in detail)/Sex/Religion (in
detail)/Citizenship (selected countries)",5760
930,2000S-2081-GEOBL3,"Persons: Migrant background (continents) - Age (age classes
of relevance to market research)/Migrant background 
(duration of stay)",3584
931,2000S-2081-GEODL3,"Persons: Migrant background (continents) - Age (age classes
of relevance to market research)/Migrant background 
(duration of stay)",224
932,2000S-2082-GEOBL3,"Persons: Migrant background (countries) - Age (yearly
stages)/Sex",151776
933,2000S-2082-GEODL3,"Persons: Migrant background (countries) - Age (yearly
stages)/Sex",9486
934,2000S-2082-GEORB3,"Persons: Migrant background (countries) - Age (yearly
stages)/Sex",341496
935,2000S-2083-GEOBL3,"Persons: Migrant background (countries) - Migrant background
and experience",25296
936,2000S-2083-GEODL3,"Persons: Migrant background (countries) - Migrant background
and experience",1581
937,2000S-2083-GEOLK3,"Persons: Migrant background (countries) - Migrant background
and experience",651372
938,2000S-2083-GEORB3,"Persons: Migrant background (countries) - Migrant background
and experience",56916
939,2000S-2083-GEOVB3,"Persons: Migrant background (countries) - Migrant background
and experience",248217
940,2000S-2084-GEOBL3,"Persons: Migrant background (countries) - Ownership of
dwelling",8928
941,2000S-2084-GEODL3,"Persons: Migrant background (countries) - Ownership of
dwelling",558
942,2000S-2084-GEOGM3,"Persons: Migrant background (countries) - Ownership of
dwelling",878292
943,2000S-2084-GEOLK3,"Persons: Migrant background (countries) - Ownership of
dwelling",229896
944,2000S-2084-GEORB3,"Persons: Migrant background (countries) - Ownership of
dwelling",20088
945,2000S-2084-GEOVB3,"Persons: Migrant background (countries) - Ownership of
dwelling",87606
946,2000S-2085-GEOBL3,"Persons: Migrant background (duration of stay) -
Age (ten years age groups)/Marital status (in
detail)/Sex/Migrant background and experience",1904
947,2000S-2085-GEODL3,"Persons: Migrant background (duration of stay) -
Age (ten years age groups)/Marital status (in
detail)/Sex/Migrant background and experience",119
948,2000S-2085-GEOGM3,"Persons: Migrant background (duration of stay) -
Age (ten years age groups)/Marital status (in
detail)/Sex/Migrant background and experience",187306
949,2000S-2085-GEOLK3,"Persons: Migrant background (duration of stay) -
Age (ten years age groups)/Marital status (in
detail)/Sex/Migrant background and experience",49028
950,2000S-2085-GEORB3,"Persons: Migrant background (duration of stay) -
Age (ten years age groups)/Marital status (in
detail)/Sex/Migrant background and experience",4284
951,2000S-2085-GEOVB3,"Persons: Migrant background (duration of stay) -
Age (ten years age groups)/Marital status (in
detail)/Sex/Migrant background and experience",18683
952,2000S-2086-GEOBL3,"Persons: Migrant background (duration of stay) -
Age (yearly stages)",11424
953,2000S-2086-GEODL3,"Persons: Migrant background (duration of stay) -
Age (yearly stages)",714
954,2000S-2086-GEORB3,"Persons: Migrant background (duration of stay) -
Age (yearly stages)",25704
955,2000S-2087-GEOBL3,"Persons: Migrant background (duration of stay) -
Age (age classes of relevance to market research)/Migrant
background (selected countries/continents)",1792
956,2000S-2087-GEODL3,"Persons: Migrant background (duration of stay) -
Age (age classes of relevance to market research)/Migrant
background (selected countries/continents)",112
957,2000S-2088-GEOBL3,"Persons: Migrant background (duration of stay) -
Type of private household (by family)",672
958,2000S-2088-GEODL3,"Persons: Migrant background (duration of stay) -
Type of private household (by family)",42
959,2000S-2089-GEOBL3,"Persons: Migration experience (year of arrival) -
Sex/Migrant background (countries)",2784
960,2000S-2089-GEODL3,"Persons: Migration experience (year of arrival) -
Sex/Migrant background (countries)",174
961,2000S-2089-GEORB3,"Persons: Migration experience (year of arrival) -
Sex/Migrant background (countries)",6264
962,2000S-2090-GEOBL3,"Persons: Migration experience (decade of arrival) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",2176
963,2000S-2090-GEODL3,"Persons: Migration experience (decade of arrival) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",136
964,2000S-2090-GEOGM3,"Persons: Migration experience (decade of arrival) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",214064
965,2000S-2090-GEOLK3,"Persons: Migration experience (decade of arrival) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",56032
966,2000S-2090-GEORB3,"Persons: Migration experience (decade of arrival) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",4896
967,2000S-2090-GEOVB3,"Persons: Migration experience (decade of arrival) -
Age/Marital status (in detail)/Sex/Migrant background and
experience/Citizenship (selected countries)",21352
968,2000S-2091-GEOBL3,"Persons: Migration experience (decade of arrival) - Type of
private household (by living arrangement)",1024
969,2000S-2091-GEODL3,"Persons: Migration experience (decade of arrival) - Type of
private household (by living arrangement)",64
970,2000S-2092-GEOBL3,Pupils: Class level - Sex/Migrant background and experience,1088
971,2000S-2092-GEODL3,Pupils: Class level - Sex/Migrant background and experience,68
972,2000S-2092-GEOGM3,Pupils: Class level - Sex/Migrant background and experience,107032
973,2000S-2092-GEOLK3,Pupils: Class level - Sex/Migrant background and experience,28016
974,2000S-2092-GEORB3,Pupils: Class level - Sex/Migrant background and experience,2448
975,2000S-2092-GEOVB3,Pupils: Class level - Sex/Migrant background and experience,10676
976,2000S-2093-GEOBL3,"Pupils: Class level - Migrant background (duration of
stay)",448
977,2000S-2093-GEODL3,"Pupils: Class level - Migrant background (duration of
stay)",28
978,2000S-2093-GEOGM3,"Pupils: Class level - Migrant background (duration of
stay)",44072
979,2000S-2093-GEOLK3,"Pupils: Class level - Migrant background (duration of
stay)",11536
980,2000S-2093-GEORB3,"Pupils: Class level - Migrant background (duration of
stay)",1008
981,2000S-2093-GEOVB3,"Pupils: Class level - Migrant background (duration of
stay)",4396
982,2000S-2094-GEOBL3,"Pupils: Type of school - Age (age classes of relevance to
infrastructure)/Sex/Class level/Migrant background and
experience",1904
983,2000S-2094-GEODL3,"Pupils: Type of school - Age (age classes of relevance to
infrastructure)/Sex/Class level/Migrant background and
experience",119
984,2000S-2094-GEOGM3,"Pupils: Type of school - Age (age classes of relevance to
infrastructure)/Sex/Class level/Migrant background and
experience",187306
985,2000S-2094-GEOLK3,"Pupils: Type of school - Age (age classes of relevance to
infrastructure)/Sex/Class level/Migrant background and
experience",49028
986,2000S-2094-GEORB3,"Pupils: Type of school - Age (age classes of relevance to
infrastructure)/Sex/Class level/Migrant background and
experience",4284
987,2000S-2094-GEOVB3,"Pupils: Type of school - Age (age classes of relevance to
infrastructure)/Sex/Class level/Migrant background and
experience",18683
988,2000S-2095-GEOBL3,"Pupils: Type of school - Migrant background (selected
countries)/Migrant background (duration of stay)",1680
989,2000S-2095-GEODL3,"Pupils: Type of school - Migrant background (selected
countries)/Migrant background (duration of stay)",105
990,2000S-2095-GEOGM3,"Pupils: Type of school - Migrant background (selected
countries)/Migrant background (duration of stay)",165270
991,2000S-2095-GEOLK3,"Pupils: Type of school - Migrant background (selected
countries)/Migrant background (duration of stay)",43260
992,2000S-2095-GEORB3,"Pupils: Type of school - Migrant background (selected
countries)/Migrant background (duration of stay)",3780
993,2000S-2095-GEOVB3,"Pupils: Type of school - Migrant background (selected
countries)/Migrant background (duration of stay)",16485
994,2000S-3001-GEOBL3,"Persons: Activity status - Age (five years age
groups)/Migrant background and experience - Sex",8160
995,2000S-3001-GEODL3,"Persons: Activity status - Age (five years age
groups)/Migrant background and experience - Sex",510
996,2000S-3001-GEOGM3,"Persons: Activity status - Age (five years age
groups)/Migrant background and experience - Sex",802740
997,2000S-3001-GEOLK3,"Persons: Activity status - Age (five years age
groups)/Migrant background and experience - Sex",210120
998,2000S-3001-GEORB3,"Persons: Activity status - Age (five years age
groups)/Migrant background and experience - Sex",18360
999,2000S-3001-GEOVB3,"Persons: Activity status - Age (five years age
groups)/Migrant background and experience - Sex",80070
1000,2000S-3002-GEOBL3,"Persons: Activity status - Age/Citizenship (selected
countries) - Sex",4800
1001,2000S-3002-GEODL3,"Persons: Activity status - Age/Citizenship (selected
countries) - Sex",300
1002,2000S-3002-GEOLK3,"Persons: Activity status - Age/Citizenship (selected
countries) - Sex",123600
1003,2000S-3002-GEORB3,"Persons: Activity status - Age/Citizenship (selected
countries) - Sex",10800
1004,2000S-3003-GEOBL3,"Persons: Activity status - Migrant background - Citizenship
(selected countries)",7200
1005,2000S-3003-GEODL3,"Persons: Activity status - Migrant background - Citizenship
(selected countries)",450
1006,2000S-3003-GEOLK3,"Persons: Activity status - Migrant background - Citizenship
(selected countries)",185400
1007,2000S-3003-GEORB3,"Persons: Activity status - Migrant background - Citizenship
(selected countries)",16200
1008,2000S-3004-GEOBL3,"Persons: Activity status - Age (eleven classes of
years)/Migrant background and experience/Type of building
(size)",29920
1009,2000S-3004-GEODL3,"Persons: Activity status - Age (eleven classes of
years)/Migrant background and experience/Type of building
(size)",1870
1010,2000S-3004-GEOLK3,"Persons: Activity status - Age (eleven classes of
years)/Migrant background and experience/Type of building
(size)",770440
1011,2000S-3004-GEORB3,"Persons: Activity status - Age (eleven classes of
years)/Migrant background and experience/Type of building
(size)",67320
1012,2000S-3005-GEOBL3,"Persons: Activity status/Migrant background - Size of
private household - Type of private household (by family)",6720
1013,2000S-3005-GEODL3,"Persons: Activity status/Migrant background - Size of
private household - Type of private household (by family)",420
1014,2000S-3005-GEOLK3,"Persons: Activity status/Migrant background - Size of
private household - Type of private household (by family)",173040
1015,2000S-3005-GEORB3,"Persons: Activity status/Migrant background - Size of
private household - Type of private household (by family)",15120
1016,2000S-3006-GEOBL3,"Persons: Activity status - Size of family nucleus - Type of
family nucleus (by family)",3840
1017,2000S-3006-GEODL3,"Persons: Activity status - Size of family nucleus - Type of
family nucleus (by family)",240
1018,2000S-3006-GEOLK3,"Persons: Activity status - Size of family nucleus - Type of
family nucleus (by family)",98880
1019,2000S-3006-GEORB3,"Persons: Activity status - Size of family nucleus - Type of
family nucleus (by family)",8640
1020,2000S-3007-GEOBL3,"Persons: Activity status (detailed) - Migrant background and
experience - Sex/Age (ten years age groups)",14688
1021,2000S-3007-GEODL3,"Persons: Activity status (detailed) - Migrant background and
experience - Sex/Age (ten years age groups)",918
1022,2000S-3007-GEOGM3,"Persons: Activity status (detailed) - Migrant background and
experience - Sex/Age (ten years age groups)",1444932
1023,2000S-3007-GEOLK3,"Persons: Activity status (detailed) - Migrant background and
experience - Sex/Age (ten years age groups)",378216
1024,2000S-3007-GEORB3,"Persons: Activity status (detailed) - Migrant background and
experience - Sex/Age (ten years age groups)",33048
1025,2000S-3007-GEOVB3,"Persons: Activity status (detailed) - Migrant background and
experience - Sex/Age (ten years age groups)",144126
1026,2000S-3008-GEOBL3,"Persons: Activity status (detailed)/Migrant background -
Marital status (in detail) - Age (five years age groups)",51840
1027,2000S-3008-GEODL3,"Persons: Activity status (detailed)/Migrant background -
Marital status (in detail) - Age (five years age groups)",3240
1028,2000S-3009-GEOBL3,"Persons: Activity status (detailed) - Age (five years age
groups)/Marital status (in detail)/Religion (in
detail)/Citizenship - Sex",17280
1029,2000S-3009-GEODL3,"Persons: Activity status (detailed) - Age (five years age
groups)/Marital status (in detail)/Religion (in
detail)/Citizenship - Sex",1080
1030,2000S-3010-GEOBL3,"Persons: Activity status (detailed) - Age/Migrant
background/Citizenship - Religion (in detail)",23040
1031,2000S-3010-GEODL3,"Persons: Activity status (detailed) - Age/Migrant
background/Citizenship - Religion (in detail)",1440
1032,2000S-3011-GEOBL3,"Persons: Activity status (detailed) - Sex - Type of private
household (by family)",5184
1033,2000S-3011-GEODL3,"Persons: Activity status (detailed) - Sex - Type of private
household (by family)",324
1034,2000S-3012-GEOBL3,"Persons: Activity status (detailed) - Marital status (in
detail) - Size of family nucleus",15552
1035,2000S-3012-GEODL3,"Persons: Activity status (detailed) - Marital status (in
detail) - Size of family nucleus",972
1036,2000S-3013-GEOBL3,"Persons: Activity status (detailed) - Sex/Religion (in
detail) - Size of family nucleus/Type of family nucleus (by
living arrangement)",5184
1037,2000S-3013-GEODL3,"Persons: Activity status (detailed) - Sex/Religion (in
detail) - Size of family nucleus/Type of family nucleus (by
living arrangement)",324
1038,2000S-3014-GEOBL3,"Persons: Activity status (detailed) - Religion (in
detail)/Migrant background - Type of family nucleus (by
family)",9216
1039,2000S-3014-GEODL3,"Persons: Activity status (detailed) - Religion (in
detail)/Migrant background - Type of family nucleus (by
family)",576
1040,2000S-3015-GEOBL3,"Persons: Migrant background - Age (ten years age groups) -
Citizenship",2880
1041,2000S-3015-GEODL3,"Persons: Migrant background - Age (ten years age groups) -
Citizenship",180
1042,2000S-3015-GEOGM3,"Persons: Migrant background - Age (ten years age groups) -
Citizenship",283320
1043,2000S-3015-GEOLK3,"Persons: Migrant background - Age (ten years age groups) -
Citizenship",74160
1044,2000S-3015-GEORB3,"Persons: Migrant background - Age (ten years age groups) -
Citizenship",6480
1045,2000S-3015-GEOVB3,"Persons: Migrant background - Age (ten years age groups) -
Citizenship",28260
1046,2000S-3016-GEOBL3,"Persons: Migrant background - Age (eleven classes of years)
- Sex",1728
1047,2000S-3016-GEODL3,"Persons: Migrant background - Age (eleven classes of years)
- Sex",108
1048,2000S-3016-GEOLK3,"Persons: Migrant background - Age (eleven classes of years)
- Sex",44496
1049,2000S-3016-GEORB3,"Persons: Migrant background - Age (eleven classes of years)
- Sex",3888
1050,2000S-3017-GEOBL3,"Persons: Migrant background - Age (eleven classes of
years)/Sex - Citizenship",4608
1051,2000S-3017-GEODL3,"Persons: Migrant background - Age (eleven classes of
years)/Sex - Citizenship",288
1052,2000S-3017-GEOLK3,"Persons: Migrant background - Age (eleven classes of
years)/Sex - Citizenship",118656
1053,2000S-3017-GEORB3,"Persons: Migrant background - Age (eleven classes of
years)/Sex - Citizenship",10368
1054,2000S-3018-GEOBL3,"Persons: Migrant background - Age (five years age
groups)/Marital status (in detail) - Sex",2880
1055,2000S-3018-GEODL3,"Persons: Migrant background - Age (five years age
groups)/Marital status (in detail) - Sex",180
1056,2000S-3019-GEOBL3,"Persons: Migrant background - Age (ten years age groups) -
Activity status (detailed)/Religion (in detail)",8640
1057,2000S-3019-GEODL3,"Persons: Migrant background - Age (ten years age groups) -
Activity status (detailed)/Religion (in detail)",540
1058,2000S-3020-GEOBL3,"Persons: Migrant background - Age (eleven classes of years)
- Size of private household/Type of private household (by
family)",4032
1059,2000S-3020-GEODL3,"Persons: Migrant background - Age (eleven classes of years)
- Size of private household/Type of private household (by
family)",252
1060,2000S-3020-GEOLK3,"Persons: Migrant background - Age (eleven classes of years)
- Size of private household/Type of private household (by
family)",103824
1061,2000S-3020-GEORB3,"Persons: Migrant background - Age (eleven classes of years)
- Size of private household/Type of private household (by
family)",9072
1062,2000S-3021-GEOBL3,"Persons: Migrant background - Age (five years age
groups)/Marital status (in detail)/Sex - Type of private
household (by family)",5760
1063,2000S-3021-GEODL3,"Persons: Migrant background - Age (five years age
groups)/Marital status (in detail)/Sex - Type of private
household (by family)",360
1064,2000S-3022-GEOBL3,"Persons: Migrant background - Religion (in detail) - Type of
family nucleus (by family)",1536
1065,2000S-3022-GEODL3,"Persons: Migrant background - Religion (in detail) - Type of
family nucleus (by family)",96
1066,2000S-3023-GEOBL3,"Persons: Migrant background/Religion (in detail) - Age (five
years age groups)/Marital status (in detail)/Sex - Type of
family nucleus (by family)",5760
1067,2000S-3023-GEODL3,"Persons: Migrant background/Religion (in detail) - Age (five
years age groups)/Marital status (in detail)/Sex - Type of
family nucleus (by family)",360
1068,2000S-3024-GEOBL3,"Persons: Migrant background and experience - Age (ten years
age groups) - Sex",8160
1069,2000S-3024-GEODL3,"Persons: Migrant background and experience - Age (ten years
age groups) - Sex",510
1070,2000S-3024-GEOGM3,"Persons: Migrant background and experience - Age (ten years
age groups) - Sex",802740
1071,2000S-3024-GEOLK3,"Persons: Migrant background and experience - Age (ten years
age groups) - Sex",210120
1072,2000S-3024-GEORB3,"Persons: Migrant background and experience - Age (ten years
age groups) - Sex",18360
1073,2000S-3024-GEOVB3,"Persons: Migrant background and experience - Age (ten years
age groups) - Sex",80070
1074,2000S-3025-GEOBL3,"Persons: Migrant background and experience - Age (ten years
age groups)/Marital status (in detail)/Sex -
Religion/Citizenship (selected countries)",10880
1075,2000S-3025-GEODL3,"Persons: Migrant background and experience - Age (ten years
age groups)/Marital status (in detail)/Sex -
Religion/Citizenship (selected countries)",680
1076,2000S-3025-GEOGM3,"Persons: Migrant background and experience - Age (ten years
age groups)/Marital status (in detail)/Sex -
Religion/Citizenship (selected countries)",1070320
1077,2000S-3025-GEOLK3,"Persons: Migrant background and experience - Age (ten years
age groups)/Marital status (in detail)/Sex -
Religion/Citizenship (selected countries)",280160
1078,2000S-3025-GEORB3,"Persons: Migrant background and experience - Age (ten years
age groups)/Marital status (in detail)/Sex -
Religion/Citizenship (selected countries)",24480
1079,2000S-3025-GEOVB3,"Persons: Migrant background and experience - Age (ten years
age groups)/Marital status (in detail)/Sex -
Religion/Citizenship (selected countries)",106760
1080,2000S-3026-GEOBL3,"Persons: Migrant background and experience - Age (ten years
age groups) - Marital status (in detail)",24480
1081,2000S-3026-GEODL3,"Persons: Migrant background and experience - Age (ten years
age groups) - Marital status (in detail)",1530
1082,2000S-3026-GEOLK3,"Persons: Migrant background and experience - Age (ten years
age groups) - Marital status (in detail)",630360
1083,2000S-3026-GEORB3,"Persons: Migrant background and experience - Age (ten years
age groups) - Marital status (in detail)",55080
1084,2000S-3027-GEOBL3,"Persons: Migrant background and experience - Age (eleven
classes of years) - Activity status/Marital status/Religion
(in detail)/Citizenship (selected countries)/Sex",32640
1085,2000S-3027-GEODL3,"Persons: Migrant background and experience - Age (eleven
classes of years) - Activity status/Marital status/Religion
(in detail)/Citizenship (selected countries)/Sex",2040
1086,2000S-3027-GEOLK3,"Persons: Migrant background and experience - Age (eleven
classes of years) - Activity status/Marital status/Religion
(in detail)/Citizenship (selected countries)/Sex",840480
1087,2000S-3027-GEORB3,"Persons: Migrant background and experience - Age (eleven
classes of years) - Activity status/Marital status/Religion
(in detail)/Citizenship (selected countries)/Sex",73440
1088,2000S-3028-GEOBL3,"Persons: Migrant background and experience - Age (yearly
stages)/Marital status (in detail) - Sex",83232
1089,2000S-3028-GEODL3,"Persons: Migrant background and experience - Age (yearly
stages)/Marital status (in detail) - Sex",5202
1090,2000S-3028-GEORB3,"Persons: Migrant background and experience - Age (yearly
stages)/Marital status (in detail) - Sex",187272
1091,2000S-3029-GEOBL3,"Persons: Migrant background and experience - Age (eleven
classes of years) - Type of private household (by family)",19584
1092,2000S-3029-GEODL3,"Persons: Migrant background and experience - Age (eleven
classes of years) - Type of private household (by family)",1224
1093,2000S-3029-GEOLK3,"Persons: Migrant background and experience - Age (eleven
classes of years) - Type of private household (by family)",504288
1094,2000S-3029-GEORB3,"Persons: Migrant background and experience - Age (eleven
classes of years) - Type of private household (by family)",44064
1095,2000S-3029-GEOVB3,"Persons: Migrant background and experience - Age (eleven
classes of years) - Type of private household (by family)",192168
1096,2000S-3030-GEOBL3,"Persons: Migrant background and experience - Age - Type of
use of dwelling/Equipment in dwelling/Type of building
(size)/Size of private household/Type of private household",19584
1097,2000S-3030-GEODL3,"Persons: Migrant background and experience - Age - Type of
use of dwelling/Equipment in dwelling/Type of building
(size)/Size of private household/Type of private household",1224
1098,2000S-3030-GEOLK3,"Persons: Migrant background and experience - Age - Type of
use of dwelling/Equipment in dwelling/Type of building
(size)/Size of private household/Type of private household",504288
1099,2000S-3030-GEORB3,"Persons: Migrant background and experience - Age - Type of
use of dwelling/Equipment in dwelling/Type of building
(size)/Size of private household/Type of private household",44064
1100,2000S-3031-GEOBL3,"Persons: Migrant background and experience - Sex - Type of
use of dwelling/Equipment in dwelling/Type of building
(size)",8976
1101,2000S-3031-GEODL3,"Persons: Migrant background and experience - Sex - Type of
use of dwelling/Equipment in dwelling/Type of building
(size)",561
1102,2000S-3031-GEOLK3,"Persons: Migrant background and experience - Sex - Type of
use of dwelling/Equipment in dwelling/Type of building
(size)",231132
1103,2000S-3031-GEORB3,"Persons: Migrant background and experience - Sex - Type of
use of dwelling/Equipment in dwelling/Type of building
(size)",20196
1104,2000S-3032-GEOBL3,"Persons: Migrant background and experience - Size of private
household - Floor area of the dwelling (20m²
intervals)/Type of private household/Rooms",20944
1105,2000S-3032-GEODL3,"Persons: Migrant background and experience - Size of private
household - Floor area of the dwelling (20m²
intervals)/Type of private household/Rooms",1309
